time;value
2022-08-01T10:00:00.000Z;-0.944262
2022-08-01T12:00:00.000Z;-0.897929
2022-08-01T14:00:00.000Z;-0.478215
2022-08-01T16:00:00.000Z;-0.442827
2022-08-01T18:00:00.000Z;-0.377755
2022-08-01T20:00:00.000Z;-0.389259
2022-08-01T22:00:00.000Z;-0.205343
2022-08-02T00:00:00.000Z;-0.212593
2022-08-02T02:00:00.000Z;-0.257628
2022-08-02T04:00:00.000Z;-0.059666
2022-08-02T06:00:00.000Z;-0.103579
2022-08-02T08:00:00.000Z;-0.04653
2022-08-02T10:00:00.000Z;-0.495119
2022-08-02T12:00:00.000Z;-0.22883
2022-08-02T14:00:00.000Z;-0.373951
2022-08-02T16:00:00.000Z;-0.287035
2022-08-02T18:00:00.000Z;-0.480239
2022-08-02T20:00:00.000Z;-0.346748
2022-08-02T22:00:00.000Z;-0.295649
2022-08-03T00:00:00.000Z;-0.137874
2022-08-03T02:00:00.000Z;-0.259423
2022-08-03T04:00:00.000Z;-0.331366
2022-08-03T06:00:00.000Z;-0.304758
2022-08-03T08:00:00.000Z;-0.391439
2022-08-03T10:00:00.000Z;-0.578926
2022-08-03T12:00:00.000Z;-0.332548
2022-08-03T14:00:00.000Z;-0.503045
2022-08-03T16:00:00.000Z;-0.338765
2022-08-03T18:00:00.000Z;-0.352273
2022-08-03T20:00:00.000Z;-0.421371
2022-08-03T22:00:00.000Z;-0.195801
2022-08-04T00:00:00.000Z;-0.10812
2022-08-04T02:00:00.000Z;-0.358426
2022-08-04T04:00:00.000Z;-0.430042
2022-08-04T06:00:00.000Z;-0.404545
2022-08-04T08:00:00.000Z;-0.167868
2022-08-04T10:00:00.000Z;-0.346095
2022-08-04T12:00:00.000Z;-0.445526
2022-08-04T14:00:00.000Z;-0.474105
2022-08-04T16:00:00.000Z;-0.358857
2022-08-04T18:00:00.000Z;-0.359714
2022-08-04T20:00:00.000Z;-0.170964
2022-08-04T22:00:00.000Z;-0.08352
2022-08-05T00:00:00.000Z;-0.159916
2022-08-05T02:00:00.000Z;-0.205899
2022-08-05T04:00:00.000Z;-0.482821
2022-08-05T06:00:00.000Z;-0.395204
2022-08-05T08:00:00.000Z;-0.355683
2022-08-05T10:00:00.000Z;-0.352939
2022-08-05T12:00:00.000Z;-0.258896
